COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;CONTRATO_COD
117;ABRANTES;11;CARABANCHEL;438348,806;4469797,06;ETRS89;40,37647793;-3,72625278;CALLE;CAZALEGAS;5 E;28025;PARQUE DE LA EMPERATRIZ MARIA DE AUSTRIA;31003931;AE21
104;ALUCHE;10;LATINA;436435,006;4471852,334;ETRS89;40,39484895;-3,74900066;CALLE;DUQUESA DE PARCENT;48;28047;CALLE LOS YEBENES;11063785;AE21
131;ENTREVIAS;13;PUENTE DE VALLECAS;443878,232;4469004,796;ETRS89;40,36973143;-3,66105055;AVENIDA;JOAQUIN GARRIGUES WALKER;3;28053;PARQUE GARRIGUES WALKER;31046275;AE21
211;ALAMEDA DE OSUNA;21;BARAJAS;450400,465;4478916,754;ETRS89;40,45943874;-3,58500293;CALLE;LA RIOJA;27;28042;C/LA RIOJA 27;11139917;AE21
143;MARROQUINA;14;MORATALAZ;446562,57;4473775,04;ETRS89;40,41288127;-3,6298342;AVENIDA;Avenida del Doctor Garcia Tapia;125;28030;;;PV24
143;MARROQUINA;14;MORATALAZ;446563,49;4473810,65;ETRS89;40,41320213;-3,62982635;AVENIDA;Avenida del Doctor Garcia Tapia;125;28030;;;PV24
126;ZOFIO;12;USERA;439268,98;4469661,71;ETRS89;40,37532619;-3,71540101;CALLE;RICARDO BELTRAN Y ROZPIDE;28;28026;AVENA;20001083;AE21
126;ZOFIO;12;USERA;439313,063;4470663,782;ETRS89;40,38435658;-3,71497719;CALLE;SAN ELIAS;1;28026;SAN MAGIN;11085146;AE21
25;DELICIAS;2;ARGANZUELA;441209,363;4472167,743;ETRS89;40,39804102;-3,69277652;CALLE;TOMAS BRETON;47 A;28045;ALONSO MARTOS;20007918;AE21
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;443865,105;4470604,736;ETRS89;40,38414378;-3,66134608;CALLE;LA DILIGENCIA;6;28018;CV CALLE CANDILEJAS;31043258;AE21
163;CANILLAS;16;HORTALEZA;445567,565;4479412,846;ETRS89;40,46360527;-3,64204399;CALLE;ALCORISA;4;28043;Ctra · CARRETERA CANILLAS 98 , ASCENDIENTE 1: 163;11116820;AE21
117;ABRANTES;11;CARABANCHEL;438862,257;4470359,936;ETRS89;40,38158642;-3,72025876;CALLE;VIA LUSITANA;3;28025;PARQUE EMPERATRIZ MARIA DE AUSTRIA;31035183;AE21
132;SAN DIEGO;13;PUENTE DE VALLECAS;443383,311;4471164,249;ETRS89;40,38915161;-3,66707163;CALLE;SIERRA DE ALQUIFE;8;28053;DE LAS PALOMERAS,37;11092598;AE21
104;ALUCHE;10;LATINA;435507,06;4471479,611;ETRS89;40,39141998;-3,75989621;CALLE;QUERO;29;28024;PARQUE ALUCHE;11065523;AE21
181;CASCO HISTORICO DE VALLECAS;18;VILLA DE VALLECAS;446909,936;4469571,909;ETRS89;40,37503897;-3,62538983;CALLE;SIERRA DE PALOMERAS;40;28031;MARTIN MUÑOZ DE LAS POSADAS;31008261;AE21
115;PUERTA BONITA;11;CARABANCHEL;437591,432;4469708,984;ETRS89;40,37562813;-3,73516535;AVENIDA;ABRANTES;291;28025;BESOLLA;31000690;AE21
122;ORCASUR;12;USERA;440903,46;4468855,452;ETRS89;40,36818047;-3,69607375;CALLE;ALERCE;5;28041;CON PINSAPO;20089216;AE21
22;ACACIAS;2;ARGANZUELA;439804,417;4473048,973;ETRS89;40,4058792;-3,70941425;RONDA;TOLEDO;12;28005;CONCEJAL BENITO MARTIN LOZANO;20007348;AE21
81;EL PARDO;8;FUENCARRAL - EL PARDO;434540,037;4485349,897;ETRS89;40,51629189;-3,77271935;AVENIDA;GUARDIA;19;28048;PARQUE MAR OCEANA;31022099;AE21
124;ALMENDRALES;12;USERA;440701,974;4470399,585;ETRS89;40,38207656;-3,69859045;PLAZA;CAMPO DE CRIPTANA;3;28026;TOMELLOSO;31012975;AE21
27;ATOCHA;2;ARGANZUELA;442351,53;4471898,528;ETRS89;40,39569564;-3,67929399;CALLE;MENDEZ ALVARO;77 A;28045;PEDRO BOSCH;20112157;AE21
116;BUENAVISTA;11;CARABANCHEL;435518,878;4469646,332;ETRS89;40,37490596;-3,75957144;CALLE;MASCARAQUE;42;28044;PARQUE DE LAS CRUCES;11077854;AE21
124;ALMENDRALES;12;USERA;440390,19;4470230,07;ETRS89;40,38052723;-3,70224746;CALLE;CRISTO DE LA VICTORIA;33;28026;CV CRISTO DE LEPANTO;11085828;AE21
151;VENTAS;15;CIUDAD LINEAL;444884,159;4475243,982;ETRS89;40,42600489;-3,64974271;CALLE;SANTA FELICIDAD;20;28017;CV C/MARIA TERESA SAEZ DE HEREDIA;11103833;AE21
171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17;VILLAVERDE;439058,342;4466536,781;ETRS89;40,3471598;-3,71758355;PASEO;FERROVIARIOS;43;28021;PARQUE PLATA Y CASTAÑAR 37;11124621;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;447872,632;4469200,363;ETRS89;40,37175259;-3,61401971;AVENIDA;LA GAVIA;42;28051;AV DEL ENSANCHEZ DE VALLECAS;31053927;AE21
82;FUENTELARREINA;8;FUENCARRAL - EL PARDO;437391,534;4481246,314;ETRS89;40,47954586;-3,73865614;CALLE;FRESNEDILLAS;33;28035;GABRIELA MISTRAL;20167433;AE21
97;ARAVACA;9;MONCLOA - ARAVACA;433346,533;4478846,311;ETRS89;40,45761128;-3,78612288;CALLE;RISCO DE LOS CLAVELES;1;28023;CALLE ZARZA;31069513;AE21
103;LUCERO;10;LATINA;435736,479;4472328,975;ETRS89;40,39908912;-3,75727899;CALLE;SEPULVEDA;216;28011;CV C. DE LOS YEBENES;31018166;AE21
131;ENTREVIAS;13;PUENTE DE VALLECAS;443979,64;4468928,7;ETRS89;40,36905273;-3,65984947;AVENIDA;JOAQUIN GARRIGUES WALKER;3;28053;PARQUE GARRIGUES WALKER;31046275;AE21
143;MARROQUINA;14;MORATALAZ;446609,04;4473744,53;ETRS89;40,4126094;-3,62928395;AVENIDA;Avenida del Doctor Garcia Tapia;125;28030;;;PV24
143;MARROQUINA;14;MORATALAZ;446540,79;4473787,3;ETRS89;40,41299032;-3,63009192;AVENIDA;Avenida del Doctor Garcia Tapia;125;28030;;;PV24
82;FUENTELARREINA;8;FUENCARRAL - EL PARDO;437527,373;4481645,851;ETRS89;40,48315524;-3,737093;CALLE;GABRIELA MISTRAL;16;28035;LILI ALVAREZ;11051403;AE21
126;ZOFIO;12;USERA;439274,726;4469652,472;ETRS89;40,37524339;-3,71533245;CALLE;RICARDO BELTRAN Y ROZPIDE;28;28026;AVENA;20001083;AE21
182;SANTA EUGENIA;18;VILLA DE VALLECAS;448097,092;4470027,98;ETRS89;40,37922235;-3,61144328;CALLE;REAL DE ARGANDA;1;28031;PLAZA ENRIQUE DE MESA;11130180;AE21
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;443864,516;4469955,486;ETRS89;40,37829491;-3,66129582;CALLE;PUERTO DE BALBARAN;125;28018;FELIPE DE DIEGO;20081321;AE21
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;444049,579;4471339,715;ETRS89;40,39077732;-3,65923741;CALLE;ARROYO DEL OLIVAR;15;28053;SIERRA DEL VALLE;11095427;AE21
131;ENTREVIAS;13;PUENTE DE VALLECAS;442564,384;4470313,854;ETRS89;40,3814347;-3,67664313;RONDA;SUR;2;28053;C/ LAGARTERA;31012755;AE21
83;PEÑAGRANDE;8;FUENCARRAL - EL PARDO;437908,802;4482002,126;ETRS89;40,48639329;-3,7326279;CALLE;MARIA DE MAEZTU;4;28049;LILI ALVAREZ CV MADRE TERESA DE CALCUTA;31054538;AE21
84;PILAR;8;FUENCARRAL - EL PARDO;439964,516;4481434,502;ETRS89;40,48143113;-3,70832011;CALLE;SANTIAGO DE COMPOSTELA;62;28034;CV C/PINTOR FRANCISCO LLORENS;11045726;AE21
54;HISPANOAMERICA;5;CHAMARTIN;442792,421;4478580,469;ETRS89;40,45592039;-3,67470037;CALLE;PUERTO RICO;29;28016;C/PUERTO RICO 29;11025194;AE21
65;VALDEACEDERAS;6;TETUAN;439941,714;4479626,547;ETRS89;40,46514275;-3,70841793;PASEO;DIRECCION;190;28039;PASEO DE LA DIRECCIÓN 215;31028286;AE21
125;MOSCARDO;12;USERA;440121,916;4471481,691;ETRS89;40,39178324;-3,70552534;CALLE;MARIBLANCA;14;28026;C/TORERO;11084099;AE21
121;ORCASITAS;12;USERA;440251,952;4469132,232;ETRS89;40,37062742;-3,70377298;CALLE;CAMPOTEJAR;15;28041;EXPROPIACION,1;11080910;AE21
121;ORCASITAS;12;USERA;438947,427;4469254,439;ETRS89;40,37163379;-3,71914956;CALLE;GAINZA;35;28041;GIANZA 35;11079657;AE21
174;LOS ROSALES;17;VILLAVERDE;441918,676;4467235,501;ETRS89;40,35365834;-3,68396925;PASEO;ESTACION;3;28021;CV GRAN VIA DE VILLA VERDE;11127008;AE21
171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17;VILLAVERDE;440332,498;4465878,41;ETRS89;40,34132091;-3,70252;AVENIDA;GRAN VIA DE VILLAVERDE;16;28021;GRAN VIA DE VILLAVERDE 16;31065315;AE21
174;LOS ROSALES;17;VILLAVERDE;441674,036;4466587,522;ETRS89;40,34780388;-3,68679073;AVENIDA;GRAN VIA DE VILLAVERDE;8 Z;28021;GRAN VIA DE VILLAVERDE 8;31073877;AE21
164;PINAR DEL REY;16;HORTALEZA;445130,232;4480958,378;ETRS89;40,47749941;-3,64733581;CALLE;SANTA SUSANA;29;28033;CALLE DE SANTA SUSANA 29;11119461;AE21
123;SAN FERMIN;12;USERA;441187,77;4469720,917;ETRS89;40,37599717;-3,69280505;CALLE;SAN MARIO;18;28041;CALLE DE SAN MARIO 18;31024105;AE21
122;ORCASUR;12;USERA;440519,03;4468768,559;ETRS89;40,36737035;-3,70059336;AVENIDA;ORCASUR;52;28041;PLAZA DEL PUEBLO;11081135;AE21
133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;443808,394;4471282,26;ETRS89;40,3902435;-3,66207393;CALLE;ANTONIO FOLGUERAS;22;28018;CALLE ANTONIO FOLGUERAS, 22     ;11095006;AE21
93;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438652,028;4478766,519;ETRS89;40,45730108;-3,72354616;Calle;Calle de Francos Rodríguez;;28040;;;PV24
93;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438663,889;4478556,774;ETRS89;40,45541249;-3,72338601;Calle;Calle de Francos Rodríguez;;28040;;;PV24
127;PRADOLONGO;12;USERA;440145,739;4469316,793;ETRS89;40,37228242;-3,7050413;AVENIDA;POBLADOS;169;28041;PRADOLONGO;31007159;AE21
134;PALOMERAS SURESTE;13;PUENTE DE VALLECAS;446202,801;4471173,124;ETRS89;40,38941841;-3,63385444;CALLE;RAFAEL FERNANDEZ HIJICOS;43;28038;MIGUEL HERNANDEZ 11;11096620;AE21
146;VINATEROS;14;MORATALAZ;445561,437;4472667,587;ETRS89;40,40283979;-3,6415385;CALLE;HACIENDA DE PAVONES;160;28030;PLAZA CORREGIDOR CONDE DE MACEDA Y TABOADA;11102502;AE21
192;VALDEBERNARDO;19;VICALVARO;447067,664;4472107,453;ETRS89;40,39789086;-3,62374261;BULEVAR;JOSE PRAT;11;28032;PALMERAS VALDEBERNARDO;20123299;AE21
136;NUMANCIA;13;PUENTE DE VALLECAS;444051,631;4472960,7;ETRS89;40,40538024;-3,65935568;CALLE;SIERRA TOLEDANA;65;28038;SIERRA ELVIRA;11142930;AE21
173;BUTARQUE;17;VILLAVERDE;442329,104;4467141,636;ETRS89;40,35284122;-3,67912786;AVENIDA;LOS ROSALES;121;28021;C/MICA;20176939;AE21
107;AGUILAS;10;LATINA;435176,735;4469459,981;ETRS89;40,37320069;-3,76358251;CALLE;CARMEN MARTIN GAITE;4;28044;JOAQUIN TURINA;31051023;AE21
61;BELLAS VISTAS;6;TETUAN;439725,675;4478103,783;ETRS89;40,45140945;-3,71082144;CALLE;FRANCISCO BALSEIRO;1;28039;JARDINES CARLOS PARIS;31009723;AE21
181;CASCO HISTORICO DE VALLECAS;18;VILLA DE VALLECAS;446888,388;4469548,404;ETRS89;40,37482584;-3,62564169;CALLE;SIERRA DE PALOMERAS;40;28031;MARTIN MUÑOZ DE LAS POSADAS;31008261;AE21
62;CUATRO CAMINOS;6;TETUAN;441041,803;4478235,757;ETRS89;40,45269273;-3,69531355;AVENIDA;GENERAL PERON;23;28020;JULIAN BESTEIRO;31010032;AE21
122;ORCASUR;12;USERA;440924,266;4468892,036;ETRS89;40,36851151;-3,69583209;CALLE;ALERCE;5;28041;CON PINSAPO;20089216;AE21
136;NUMANCIA;13;PUENTE DE VALLECAS;444142,263;4472874,119;ETRS89;40,40460636;-3,65828004;CALLE;PEÑA LABRA;16;28038;PICO DE LA VELETA;11099569;AE21
11;PALACIO;1;CENTRO;438958,168;4474113,185;ETRS89;40,41540448;-3,71948878;PASEO;VIRGEN DEL PUERTO;4;28005;CIUDAD DE PLASENCIA;31011490;AE21
